feature,mean_abs_shap,model,outcome
transgres_m,0.011231202769798353,Random Forest,physSx_7
usdream_m,0.003325137637368898,Random Forest,physSx_7
parental_marriage_1.0,0.0019642807280429776,Random Forest,physSx_7
parental_marriage_2.0,0.0009376521710253655,Random Forest,physSx_7
parental_marriage_3.0,0.0002850905940882685,Random Forest,physSx_7
parental_marriage_4.0,0.000814488002936548,Random Forest,physSx_7
sibling_c,0.0011080103469861334,Random Forest,physSx_8
idea_m,0.01416962267586556,Random Forest,physSx_8
moa_achievement_m,0.01060149579848591,Random Forest,physSx_8
moa_importance_m,0.010381430664228494,Random Forest,physSx_8
stress_m,0.056769645071650346,Random Forest,physSx_8
support_m,0.00890531802788765,Random Forest,physSx_8
belong_m,0.011186533405014479,Random Forest,physSx_8
mindful_m,0.028813436427014765,Random Forest,physSx_8
efficacy_m,0.015012664570572638,Random Forest,physSx_8
npi_m,0.005760315080162973,Random Forest,physSx_8
exploit_m,0.00852236242509795,Random Forest,physSx_8
disability_m,0.014808532309211066,Random Forest,physSx_8
social_conn_m,0.007875038417486145,Random Forest,physSx_8
social_new_m,0.006730320960800904,Random Forest,physSx_8
social_info_m,0.010863505410830107,Random Forest,physSx_8
swb_m,0.02593113262151991,Random Forest,physSx_8
transgres_m,0.019173820102134975,Random Forest,physSx_8
usdream_m,0.010644471615025056,Random Forest,physSx_8
parental_marriage_1.0,0.0021242097271276152,Random Forest,physSx_8
parental_marriage_2.0,0.0031165237398355426,Random Forest,physSx_8
parental_marriage_3.0,0.00012668949865691034,Random Forest,physSx_8
parental_marriage_4.0,0.0019265283320156381,Random Forest,physSx_8
sibling_c,0.0018882831647793498,Random Forest,physSx_9
idea_m,0.010610439738162336,Random Forest,physSx_9
moa_achievement_m,0.00607580650315271,Random Forest,physSx_9
moa_importance_m,0.0061725619024309685,Random Forest,physSx_9
stress_m,0.03903101907417478,Random Forest,physSx_9
support_m,0.011997642999841617,Random Forest,physSx_9
belong_m,0.0087744659469622,Random Forest,physSx_9
mindful_m,0.03680492058249035,Random Forest,physSx_9
efficacy_m,0.010548957515707733,Random Forest,physSx_9
npi_m,0.0060317336431474355,Random Forest,physSx_9
exploit_m,0.008251458713352249,Random Forest,physSx_9
disability_m,0.023557840086337743,Random Forest,physSx_9
social_conn_m,0.0061855233151265196,Random Forest,physSx_9
social_new_m,0.0067786031487428195,Random Forest,physSx_9
social_info_m,0.01324661674048641,Random Forest,physSx_9
swb_m,0.02128558812707047,Random Forest,physSx_9
transgres_m,0.01926223676638593,Random Forest,physSx_9
usdream_m,0.0087931903940755,Random Forest,physSx_9
parental_marriage_1.0,0.0034883990192826615,Random Forest,physSx_9
parental_marriage_2.0,0.00345782739877657,Random Forest,physSx_9
parental_marriage_3.0,0.00032857794274146864,Random Forest,physSx_9
parental_marriage_4.0,0.001241572118091446,Random Forest,physSx_9
sibling_c,0.0012442232877284724,Random Forest,physSx_10
idea_m,0.005848147330681937,Random Forest,physSx_10
moa_achievement_m,0.01033237610309654,Random Forest,physSx_10
moa_importance_m,0.01029462048040259,Random Forest,physSx_10
stress_m,0.023085816549229067,Random Forest,physSx_10
support_m,0.010557425388966856,Random Forest,physSx_10
belong_m,0.009575795326999982,Random Forest,physSx_10
mindful_m,0.01654397929534224,Random Forest,physSx_10
efficacy_m,0.014529558983900267,Random Forest,physSx_10
npi_m,0.005831457124101595,Random Forest,physSx_10
exploit_m,0.007416331042445301,Random Forest,physSx_10
disability_m,0.01716405227912164,Random Forest,physSx_10
social_conn_m,0.007886228102067714,Random Forest,physSx_10
social_new_m,0.0075422145530689745,Random Forest,physSx_10
social_info_m,0.008939729087837378,Random Forest,physSx_10
swb_m,0.02709403969248643,Random Forest,physSx_10
transgres_m,0.011546973518524973,Random Forest,physSx_10
usdream_m,0.011491410264596335,Random Forest,physSx_10
parental_marriage_1.0,0.0034580233189132003,Random Forest,physSx_10
parental_marriage_2.0,0.005706462558814853,Random Forest,physSx_10
parental_marriage_3.0,0.0003025502715042297,Random Forest,physSx_10
parental_marriage_4.0,0.0015215376536512437,Random Forest,physSx_10
sibling_c,0.0010405482294792879,Random Forest,physSx_11
idea_m,0.014214894738871553,Random Forest,physSx_11
moa_achievement_m,0.01167174664657502,Random Forest,physSx_11
moa_importance_m,0.014055331171650117,Random Forest,physSx_11
stress_m,0.02067262248316258,Random Forest,physSx_11
support_m,0.009193879143396215,Random Forest,physSx_11
belong_m,0.012447778547356592,Random Forest,physSx_11
mindful_m,0.027149340509139766,Random Forest,physSx_11
efficacy_m,0.01434320261757915,Random Forest,physSx_11
npi_m,0.006481725159143809,Random Forest,physSx_11
exploit_m,0.006889560899299551,Random Forest,physSx_11
disability_m,0.0109522642953176,Random Forest,physSx_11
social_conn_m,0.007186040212419315,Random Forest,physSx_11
social_new_m,0.006953920453559566,Random Forest,physSx_11
social_info_m,0.009526456679585764,Random Forest,physSx_11
swb_m,0.028843260127295853,Random Forest,physSx_11
transgres_m,0.01662876016696611,Random Forest,physSx_11
usdream_m,0.015413780482376504,Random Forest,physSx_11
parental_marriage_1.0,0.0025062387844197085,Random Forest,physSx_11
parental_marriage_2.0,0.0023089772613924266,Random Forest,physSx_11
parental_marriage_3.0,0.00024297928646676716,Random Forest,physSx_11
parental_marriage_4.0,0.0009313346987151239,Random Forest,physSx_11
sibling_c,0.0007628843261799508,Random Forest,physSx_12
idea_m,0.010224953920996717,Random Forest,physSx_12
moa_achievement_m,0.004955086320982275,Random Forest,physSx_12
moa_importance_m,0.0070790592685308785,Random Forest,physSx_12
stress_m,0.014121642307811178,Random Forest,physSx_12
support_m,0.006467482655529103,Random Forest,physSx_12
belong_m,0.010355992373482134,Random Forest,physSx_12
mindful_m,0.018740460282100142,Random Forest,physSx_12
efficacy_m,0.006105425323093861,Random Forest,physSx_12
npi_m,0.004186626678181025,Random Forest,physSx_12
exploit_m,0.004974840769333812,Random Forest,physSx_12
disability_m,0.006521647023806709,Random Forest,physSx_12
social_conn_m,0.005708708401918776,Random Forest,physSx_12
social_new_m,0.005568762078760475,Random Forest,physSx_12
social_info_m,0.004357533326274576,Random Forest,physSx_12
swb_m,0.02329784404602069,Random Forest,physSx_12
transgres_m,0.010620438363966778,Random Forest,physSx_12
usdream_m,0.013644817656320576,Random Forest,physSx_12
parental_marriage_1.0,0.0013390134206014604,Random Forest,physSx_12
parental_marriage_2.0,0.0011625352724410661,Random Forest,physSx_12
parental_marriage_3.0,8.212720769617304e-05,Random Forest,physSx_12
parental_marriage_4.0,0.0006529849519058704,Random Forest,physSx_12
sibling_c,0.0035377518947674025,Random Forest,physSx_13
idea_m,0.008824265276785046,Random Forest,physSx_13
moa_achievement_m,0.007013015797577952,Random Forest,physSx_13
moa_importance_m,0.006870796477387929,Random Forest,physSx_13
stress_m,0.022462450265446177,Random Forest,physSx_13
support_m,0.014348127100513102,Random Forest,physSx_13
belong_m,0.01027040489390449,Random Forest,physSx_13
mindful_m,0.02994909901806757,Random Forest,physSx_13
efficacy_m,0.006299996917954481,Random Forest,physSx_13
npi_m,0.005767042015687056,Random Forest,physSx_13
exploit_m,0.008593777509899229,Random Forest,physSx_13
disability_m,0.006499839433075897,Random Forest,physSx_13
social_conn_m,0.009451534354912257,Random Forest,physSx_13
social_new_m,0.00723128588148418,Random Forest,physSx_13
social_info_m,0.008977984015876907,Random Forest,physSx_13
swb_m,0.027846972116070658,Random Forest,physSx_13
transgres_m,0.020313149207442836,Random Forest,physSx_13
usdream_m,0.0073621822610724945,Random Forest,physSx_13
parental_marriage_1.0,0.007767952955514482,Random Forest,physSx_13
parental_marriage_2.0,0.007785619883140181,Random Forest,physSx_13
parental_marriage_3.0,6.618863619570659e-05,Random Forest,physSx_13
parental_marriage_4.0,0.0007287067565290254,Random Forest,physSx_13
